nodes,PPN,config,dim,op,time,tpMiBs,sizeMiB,,
500,1,lustre1+2,200000,Read,15.695,194438,3051758,,
200,4,lustre1+2,200000,Read,18.836,162019,3051758,,
100,8,lustre1+2,200000,Read,18.183,167837,3051758,,
500,1,lustre1+2,200000,Write,15.12,201837,3051758,,
200,4,lustre1+2,200000,Write,18.873,161704,3051758,,
100,8,lustre1+2,200000,Write,16.649,183297,3051758,,
500,1,lustre2,200000,Read,19.699,154918,3051758,,
200,4,lustre2,200000,Read,18.091,168685,3051758,,
100,8,lustre2,200000,Read,17.441,174974,3051758,,
100,1,lustre2,200000,Write,21.183,144069,3051758,,
200,1,lustre2,200000,Write,34.957,87300,3051758,,
500,1,lustre2,200000,Write,20.039,152293,3051758,,
